Product,Review
Product A ,"""Amazing quality! Highly recommend it."""
Product A ,"""Not satisfied with the durability."""
Product A ,"""Decent product for the price."""
Product A ,"""Exceeded my expectations, fantastic purchase!"""
Product A ,"""Stopped working after a week. Terrible experience."" "
Product B ,"""Very stylish and comfortable."""
Product B ,"""Didn't like the color, but overall okay."""
Product B ,"""Worst purchase ever. Waste of money."""
Product B ," ""Perfect for my needs, very happy!"""
Product B ," ""Average quality, not worth the price."""
Product C,"""The delivery was quick and the product is great."""
Product C,"""Had some issues with the packaging."""
Product C,"""Fantastic quality, very impressed!"""
Product C,"""Poor build quality, disappointed."""
Product C," ""Good, but not as described."""
Product D,"""Highly functional and easy to use."""
Product D,"""Too expensive for what it offers."""
Product D,"""Satisfied, but there’s room for improvement."""
Product D,"""Exceeded all expectations. Amazing!"""
Product D," ""Doesn't work as advertised. Wouldn't recommend."""
Product E ,"""Perfect size and great design."""
Product E ,"""It’s okay, but I expected better quality."""
Product E ,"""Terrible material, broke in two days."""
Product E ,"""Great value for money, very satisfied!"""
Product E ,"""Not happy with the product at all."""
